Exchange Date,Close,Return 1W,Return 2W,Return 3W
12/13/2019,"13,697.34",0.00803,0.02215,0.02619
12/20/2019,"13,889.25",0.01401,0.01802,0.01604
12/27/2019,"13,944.14",0.00395,0.002,0.00495
1/3/2020,"13,917.05",-0.00194,0.00099,0.01714
1/10/2020,"13,957.97",0.00294,0.01912,0.00441
1/17/2020,"14,183.20",0.01614,0.00147,-0.02464
1/24/2020,"13,978.47",-0.01443,-0.04012,-0.01772
1/31/2020,"13,614.10",-0.02607,-0.00333,0.0085
2/7/2020,"13,931.93",0.02335,0.0355,0.02657
2/14/2020,"14,097.34",0.01187,0.00315,-0.11132
2/21/2020,"13,975.78",-0.00862,-0.12175,-0.1238
2/28/2020,"12,380.97",-0.11411,-0.11618,-0.22352
3/6/2020,"12,352.03",-0.00234,-0.1235,-0.26232
3/13/2020,"10,851.98",-0.12144,-0.26059,-0.17526
3/20/2020,"9,133.16",-0.15839,-0.06126,-0.08951
3/27/2020,"10,187.21",0.11541,0.08184,0.21936
4/3/2020,"9,880.63",-0.03009,0.0932,0.10023
4/10/2020,"11,136.61",0.12712,0.13437,0.1151
4/17/2020,"11,208.29",0.00644,-0.01066,-0.00701
4/24/2020,"11,017.90",-0.01699,-0.01336,0.01303
5/1/2020,"11,058.57",0.00369,0.03054,-0.00641
5/8/2020,"11,354.34",0.02675,-0.01006,0.02472
5/15/2020,"10,947.32",-0.03585,-0.00197,0.03951
5/22/2020,"11,331.97",0.03514,0.07816,0.15475
5/29/2020,"11,802.95",0.04156,0.11556,0.04723
6/5/2020,"12,641.44",0.07104,0.00544,0.01501
6/12/2020,"11,867.17",-0.06125,-0.05231,-0.08203
6/19/2020,"11,980.12",0.00952,-0.02214,0.01048
6/26/2020,"11,604.43",-0.03136,0.00095,0.00797
7/3/2020,"11,991.52",0.03336,0.0406,0.06879
7/10/2020,"12,075.58",0.00701,0.03429,0.03922
7/17/2020,"12,402.74",0.02709,0.03198,0.03225
7/24/2020,"12,461.78",0.00476,0.00502,0.02928
7/31/2020,"12,465.05",0.00026,0.0244,0.03537
8/7/2020,"12,765.84",0.02413,0.03509,0.0276
8/14/2020,"12,902.50",0.0107,0.00339,0.03173
8/21/2020,"12,809.07",-0.00724,0.02081,0.00114
8/28/2020,"13,170.96",0.02825,0.00844,-0.00281
9/4/2020,"12,917.15",-0.01927,-0.03021,-0.02562
9/11/2020,"12,773.04",-0.01116,-0.00647,-0.03343
9/18/2020,"12,833.57",0.00474,-0.02252,-0.00182
9/25/2020,"12,485.38",-0.02713,-0.00653,0.03265
10/2/2020,"12,749.79",0.02118,0.06145,0.05478
10/9/2020,"13,252.62",0.03944,0.0329,0.0353
10/16/2020,"13,169.32",-0.00629,-0.00398,-0.06213
10/23/2020,"13,199.86",0.00232,-0.05619,0.00375
10/30/2020,"12,429.28",-0.05838,0.00143,0.04254
11/6/2020,"13,218.67",0.06351,0.10717,0.11245
11/13/2020,"13,761.32",0.04105,0.04602,0.07412
11/20/2020,"13,827.00",0.00477,0.03177,0.04767
11/27/2020,"14,198.50",0.02687,0.04269,0.03821
12/4/2020,"14,417.33",0.01541,0.01104,0.01897
12/11/2020,"14,355.29",-0.0043,0.0035,-0.00242
12/18/2020,"14,467.82",0.00784,0.0019,0.01181
12/25/2020,"14,382.50",-0.0059,0.00394,0.03449
1/1/2021,"14,524.80",0.00989,0.04063,0.03558
1/8/2021,"14,966.83",0.03043,0.02543,0.0294
1/15/2021,"14,894.17",-0.00485,-0.001,-0.03806
1/22/2021,"14,951.84",0.00387,-0.03337,0.01178
1/29/2021,"14,397.20",-0.0371,0.00788,0.02794
2/5/2021,"15,069.60",0.0467,0.06754,0.06706
2/12/2021,"15,369.60",0.01991,0.01945,-0.00392
2/19/2021,"15,362.69",-0.00045,-0.02337,-0.00766
2/26/2021,"15,010.47",-0.02293,-0.00722,0.02295
3/5/2021,"15,251.83",0.01608,0.04695,0.03676
3/12/2021,"15,715.21",0.03038,0.02035,0.02824
3/19/2021,"15,562.26",-0.00973,-0.00208,0.00236
3/26/2021,"15,682.54",0.00773,0.01221,0.02532
4/2/2021,"15,752.24",0.00444,0.01746,0.03212
4/9/2021,"15,956.37",0.01296,0.02755,0.02881
4/16/2021,"16,186.29",0.01441,0.01564,0.01648
4/23/2021,"16,206.00",0.00122,0.00204,0.02497
4/30/2021,"16,219.33",0.00082,0.02372,0.01292
5/7/2021,"16,590.43",0.02288,0.01209,0.0096
5/14/2021,"16,415.36",-0.01055,-0.01299,-0.0021
5/21/2021,"16,375.00",-0.00246,0.00855,0.01787
5/28/2021,"16,555.66",0.01103,0.02038,0.01954
6/4/2021,"16,708.74",0.00925,0.00841,-0.02487
6/11/2021,"16,694.93",-0.00083,-0.0338,-0.00299
6/18/2021,"16,143.95",-0.033,-0.00216,-0.0012
6/25/2021,"16,658.79",0.03189,0.03289,0.03031
7/2/2021,"16,674.85",0.00096,-0.00153,-0.01766
7/9/2021,"16,633.30",-0.00249,-0.0186,-0.00734
7/16/2021,"16,364.66",-0.01615,-0.00486,-0.00186
7/23/2021,"16,552.38",0.01147,0.01452,0.02343
7/30/2021,"16,602.29",0.00302,0.01182,0.01907
8/6/2021,"16,748.08",0.00878,0.01601,-0.00516
8/13/2021,"16,868.11",0.00717,-0.01382,0.00577
8/20/2021,"16,516.68",-0.02083,-0.00138,0.00247
8/27/2021,"16,844.75",0.01986,0.0238,0.00283
9/3/2021,"16,909.72",0.00386,-0.0167,-0.02282
9/10/2021,"16,563.48",-0.02048,-0.02657,-0.02191
9/17/2021,"16,460.35",-0.00623,-0.00147,-0.01447
9/24/2021,"16,539.15",0.00479,-0.0083,0.00346
10/1/2021,"16,323.74",-0.01302,-0.00133,0.02011
10/8/2021,"16,517.23",0.01185,0.03357,0.04892
10/15/2021,"16,871.74",0.02146,0.03663,0.03022
10/22/2021,"17,122.24",0.01485,0.00857,0.02197
10/29/2021,"17,016.41",-0.00618,0.00702,0.01025
11/5/2021,"17,242.36",0.01328,0.01653,-0.00249
11/12/2021,"17,297.66",0.00321,-0.01557,-0.03581
11/19/2021,"16,973.96",-0.01871,-0.03889,-0.05491
11/26/2021,"16,624.87",-0.02057,-0.03689,-0.00691
12/3/2021,"16,347.87",-0.01666,0.01394,0.00263
12/10/2021,"16,856.63",0.03112,0.01962,0.03765
12/17/2021,"16,668.64",-0.01115,0.00634,0.01824
12/24/2021,"16,963.44",0.01769,0.02973,0.02985
12/31/2021,"17,164.13",0.01183,0.01196,0.01507
1/7/2022,"17,166.28",0.00013,0.0032,-0.04467
1/14/2022,"17,219.06",0.00307,-0.04479,-0.04476
1/21/2022,"16,397.34",-0.04772,-0.04769,-0.03005
1/28/2022,"16,397.86",0.00003,0.01855,0.01632
2/4/2022,"16,701.58",0.01852,0.01629,-0.00034
2/11/2022,"16,664.99",-0.00219,-0.01852,-0.01638
2/18/2022,"16,392.32",-0.01636,-0.01422,-0.03212
2/25/2022,"16,427.96",0.00217,-0.01602,-0.03896
3/4/2022,"16,129.66",-0.01816,-0.04104,0.01124
3/11/2022,"15,753.70",-0.02331,0.02994,0.04111
3/18/2022,"16,612.64",0.05452,0.06596,0.06564
3/25/2022,"16,792.80",0.01084,0.01054,0.00465
4/1/2022,"16,787.75",-0.0003,-0.00612,-0.01675
4/8/2022,"16,689.95",-0.00583,-0.01645,-0.04354
4/15/2022,"16,511.51",-0.01069,-0.03793,-0.06439
4/22/2022,"16,056.87",-0.02753,-0.05428,-0.05723
4/29/2022,"15,615.25",-0.0275,-0.03054,-0.04979
5/6/2022,"15,566.56",-0.00312,-0.02292,-0.03421
5/13/2022,"15,257.36",-0.01986,-0.03119,0.02416
5/20/2022,"15,080.98",-0.01156,0.04491,0.03538
5/27/2022,"15,942.62",0.05713,0.04749,0.00104
6/3/2022,"15,797.17",-0.00912,-0.05306,
